Tanggal Posting;Nama Tampilan;Username;Teks Tweet;Retweets;Likes;Total Interaksi
17/01/2021;♡⁹ junkyu jeongwoo birthday event @ jakarta;@junkyuhappy;JIKYUKAJA KAJAAAA!!! udah gerah bgt liatnya! pada berisik bgt padahal kteume ga akan ngeladenin tweet mereka;0;0;0
17/01/2021;somewhere;@missteri19;Kalo kerja di Jakarta di gedung bertingkat seharian gak pake AC rasanya gerah banget;0;0;0
19/01/2021;dzuru;@tnsaymidzru;Waktu dulu aku ke Jakarta panas banget kak  mending kakvivi aja yang kesini biar sekalian meet;0;0;0
22/01/2021;yusufmahardika;@mahardikayusuff;baru juga ngomong dalem hati “jakarta panas banget” dwarr langsung gerimis;0;27;27
22/01/2021;moved (check bio);@sakaigwa;biasanya di jakarta panas banget kah?;0;0;0
22/01/2021;rana;@eurypdice;Jakarta kenapa panas banget;0;0;0
24/01/2021;lalaw;@ssamojend;di jakarta cuacanya dingin, tapi aing gerah;0;0;0
26/01/2021;nami cookies;@467naa;jakarta panas banget hiksrot;0;0;0
26/01/2021;THE KIM;@decursedkid;Sama² jakarta tpi, ya masih deket²an jadi cuaca nya bisa samaan, tadi jam 11 panas banget sumpah, tpi skrg udh engga, cerah tpi ga panas;0;0;0
27/01/2021;Tinny;@flowgirlz;Dahlahhh mau nyapu kolong kasur dulu kali aja nemu duit segepok buat beli winpack. TL panas banget abisnya pdhl cuaca jakarta lagi mendung;0;0;0
28/01/2021;name cannot be blank;@str8forwage;Jakarta adem banget ga si akhir2 ini, gw aja seharian ga gerah, gatau ini baik apa buruk;0;0;0
29/01/2021;ℛei 𐙚;@ribbonstelar;jakarta hawa nya panas banget PADAHAL MENDUNG;0;0;0
30/01/2021;Tukang Ngider;@canisiusandrew;Keknya udah terlatih dengan panas dan gerahnya Denpasar deh. Di Jakarta siang-siang biasanya bisa gak pake baju, dari awal balik biasa aja, gerah engga, keringetan engga.;0;0;0
30/01/2021;poyo ✿;@pouroron;jakarta panas ohok gerah bund,,;0;0;0
31/01/2021;nyai dasimah;@hasbunallohh;Saya warga Jabar belum mendengar berita Jakarta banjir nih, soalnya kasihan buzzerRp udah gerah pengen teriak Moga pa  @aniesbaswedan   sehat selalu;0;1;1
31/01/2021;cpiikv;@anggittra;Tahun 2019 ntah kenapa jakarta panas banget. Tiap hari selalu ngerasa kalo jatinegara punya 2 matahari saking panasnya.;0;0;0
31/01/2021;ً;@terderu;kemaren kemaren mah kan di jakarta, gerah, sekarang ge udah ditutup.;0;0;0
01/02/2021;@albanytorome;@albanytorome;Jakarta panas banget heran;0;0;0
01/02/2021;seplastik kesegaran;@esbuyungupik;Jakarta panas soalnya bang gerah;0;0;0
02/02/2021;Lex.;@matchabubukkk;Katanya dia ga suka gitu katanya kalo abis mandi gerah..... Dia di jakarta sih, tapi anjrit;0;0;0
02/02/2021;Michaelburger?!;@RabuBerdua;Jakarta ada di urutan terakhir kota tempat aku pengen kerja. Selama ini tinggal di Medan aja udah ngerasa gerah, sumpek, macet, apalagi di Jekardah. Pengen kerja di kota kabupaten aja;0;0;0
03/02/2021;sifa;@mifasolremi;dulu pertama ke jakarta itu mungkin pas SD yaa tahun 2004 apa yaa lupaa. kesana pertama? panas gerah wkwk trus kirain bakal ktmu artis di perjalanan maklum pas bocah taunya artis pda di jkt wkwkw. udh itu aja wkwkw.;0;0;0
04/02/2021;Lipiya.;@kelipkejora;⠀⠀ 'Ini kalo bel pulang sekolah gue pencet sendiri dimarahin gak ya? Pengen cepetan pulang dah panas banget Jakarta,' ⠀⠀;0;0;0
04/02/2021;altria ʕ•ᴥ•ʔ;@taekookminxx;aku di jakarta timur ujan teruss bun tapi tadi siang panas banget eh sekarang ujan lagii;0;0;0
05/02/2021;Serena.;@hiperbolafiksi;ㅤ Sama sama Jakarta, halo! Panas banget jam segini, ya? Pingin diam di balkoni tadi, malah masuk lagi. Nggak kuat. ㅤ;1;0;1
05/02/2021;yolk;@JaehyunJakseI;gerah bgt anjir ini jakarta apa neraka;0;0;0
07/02/2021;Harmainy;@Harmainy1;Hujan dimana2, di jakarta, jateng, jabar sampe menyebabkan genangan sampai di leher orang dewasa,. Kita disini malah gerah, panasnya pake bangeeett..;0;0;0
07/02/2021;Lapendos Pademangan;@gonkcil;Kalo bukan kadrun ngapain gerah? Sini berendem di banjir jakarta lebih dalem airnya..berhari2 gak surut lagi;0;0;0
08/02/2021;Dani Setiyono;@dani_DD1897;Ada yg gerah padahal cuaca lagi adem...jangan lupa makan siang biar ada asupan gizi biar ga selalu iri hati, hidup jangan banyak membenci karena bisa merusak diri.. nikmatin hidup dan terus berkarya untuk Jakarta (khususnya) dan Indonesia.;1;0;1
09/02/2021;dhil;@colingrvms;jakarta gerah bangeeeetttt;0;0;0
09/02/2021;Haris || Commission Open;@hysnasiart;semagat nder.. klo keluar pake payung aja.. btw jakarta sekarang lagi enak sejuk lagi sering hujan lho biasanya emang panas banget;0;0;0
09/02/2021;engka;@sekaranggg;Panas banget berasa di jakarta aja hawanyaa;0;0;0
10/02/2021;AndyZain;@Andizai32519371;Bukan milik aceh jika aceh belum merdeka,,dari hasilnya, direktur sapai ke staf dari jakarta,,aceh hanya menikmati cuaca panas dan penggusuran;1;5;6
10/02/2021;chery;@nabianns;Yay, kalo kamu kuliah ditempat yang dingin kaya  dikorea. Kalo Jakarta up bngt pasti bakal gerah;0;0;0
10/02/2021;muhLisa;@Muhlisalisalisa;Maap bro, kebetulan saya bukan warga Jakarta. Cm gerah aja liat eko ga objektif komentarin sesuatu. Keliatan banget buzzerp nya tp ga mau ngaku. Coba klo ngaku, aq mah memaklumi klo dia nyerang Jakarta teruss. Gitu;0;0;0
10/02/2021;RedandWhite;@RedandW96922244;Karena Bogor sudah ada istana Bogor, tempat tetirah Gubernur Jenderal, di Cipanas pun sudah ada Istana Cipanas. Dan Bandung pun memang dirancang untuk menjadi ibukota Hindia Belanda di kemudian hari. Orang Belanda kan tidak tahan suhu panas Jakarta (d/h Batavia).;0;0;0
10/02/2021;uyuy chotabim;@igrjen;Jakarta kalo ga panas banget, ya ujan deres;0;0;0
11/02/2021;wne;@sznowfall_;malam ini ujan aja dong, panas banget jakarta;0;0;0
11/02/2021;utavtzzzz;@putradwn_;enak ujan pagi², jakarta gerah;0;0;0
11/02/2021;@wdyt_yoon;@wdyt_yoon;Panas banget di jakarta :';0;0;0
11/02/2021;RAKA!;@BungkusKebab;ke jakarta dr bogor pake motor gapake sarung tangan cuaca panas.... rasanya ahhh anyiinnggg;0;0;0
